Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
1991,20742631.0,0.8941,20812743.0,1,Parliamentary,0.8970999999999999
1989,20022072.0,0.8207,20552960.0,1,Parliamentary,0.8423999999999999
1987,19452790.0,0.8014,20293650.0,1,Parliamentary,0.8361
1985,18649101.0,0.7776000000000001,19711250.0,1,Parliamentary,0.8219
1983,17929951.0,0.7752,19257550.0,1,Parliamentary,0.8325
1973,14302497.0,0.7498999999999999,16315200.0,1,Parliamentary,0.8554999999999999
1965,11460766.0,0.6635,14417000.0,1,Parliamentary,0.8345999999999999
1963,11353936.0,0.6981999999999999,13919100.0,1,Parliamentary,0.8559
1962,10596321.0,0.6629,13704960.0,1,Parliamentary,0.8573000000000001
1960,10187586.0,0.6706,13228160.0,1,Parliamentary,0.8706999999999999
1958,10002327.0,0.708,12837120.0,1,Parliamentary,0.9086
1954,9194157.0,0.6592,11994880.0,1,Parliamentary,0.86
1951,8633998.0,0.6728000000000001,11286400.0,1,Parliamentary,0.8795000000000001
1946,3405173.0,0.2834,10018560.0,1,Parliamentary,0.8339
2023,35405398.0,0.7731,34950444.0,1,Presidential,0.7631999999999999
2023,35854122.0,0.7914,34950444.0,1,Presidential,0.7714
2019,34231721.0,0.8231999999999999,33442549.0,1,Presidential,0.8042
2015,32108509.0,0.8106,31996332.0,1,Presidential,0.8077
2015,32130853.0,0.8140999999999999,31996332.0,1,Presidential,0.8107
2011,28916183.0,0.7735,29678579.0,1,Presidential,0.7939
2007,27137536.0,0.768,26926602.0,1,Presidential,0.762
2003,25481410.0,0.7825,25471223.0,1,Presidential,0.7822
1999,24111270.0,0.8312999999999999,23877270.0,1,Presidential,0.8231999999999999
1995,22178201.0,0.8095,22488050.0,1,Presidential,0.8208
1989,20034252.0,0.8316,20552960.0,1,Presidential,0.8531
1983,17929951.0,0.7970999999999999,19257550.0,1,Presidential,0.8561
1973,14312405.0,0.7389,16315200.0,1,Presidential,0.8423
1973,14256991.0,0.7503,16315200.0,1,Presidential,0.8586
1963,11353936.0,0.6981999999999999,13919100.0,1,Presidential,0.8559
1958,10002327.0,0.708,12837120.0,1,Presidential,0.9086
1951,8633998.0,0.6728000000000001,11286400.0,1,Presidential,0.8795000000000001
1946,3405173.0,0.2834,10018560.0,1,Presidential,0.8339
2021,2595512.0,0.5443,2355287.0,0,Parliamentary,0.4939
2018,2593140.0,0.5338,2362422.0,0,Parliamentary,0.4863
2017,2588590.0,0.6673,2363767.0,0,Parliamentary,0.6093
2012,2501597.0,0.6967,2257586.0,0,Parliamentary,0.6286999999999999
2007,2319722.0,0.6515000000000001,2136013.0,0,Parliamentary,0.5999
2003,2233757.0,0.6065,2032289.0,0,Parliamentary,0.5518
1999,2198544.0,0.4547,2500788.0,0,Parliamentary,0.5172
1995,2195283.0,0.5061,2338700.0,0,Parliamentary,0.5390999999999999
2013,2528773.0,0.7421,2050655.0,0,Presidential,0.6018
2008,2390000.0,0.7719,2161558.0,0,Presidential,0.6981
2003,2331507.0,0.785,2032289.0,0,Presidential,0.6843
2003,2315410.0,0.7201000000000001,2032289.0,0,Presidential,0.6321
1998,2300816.0,0.6593000000000001,2377830.0,0,Presidential,0.6814
1998,2293636.0,0.6124,2377830.0,0,Presidential,0.6347999999999999
1996,2210189.0,0.5635,2366000.0,0,Presidential,0.6032
2021,70283.0,0.6214,95747.0,0,Parliamentary,0.8466
2017,70750.0,0.6539,90840.0,0,Parliamentary,0.8395999999999999
2013,68758.0,0.6972,83688.0,0,Parliamentary,0.8486
2009,65000.0,0.6966,79132.0,0,Parliamentary,0.8481000000000001
2005,60635.0,0.7241,71795.0,0,Parliamentary,0.8573999999999999
1997,52166.0,0.8414,53174.0,0,Parliamentary,0.8576999999999999
1994,64848.0,0.7608,52560.0,0,Parliamentary,0.6165999999999999
1993,45680.0,0.81,49680.0,0,Parliamentary,0.8809
2025,18098797.0,0.7766,21130221.0,1,Parliamentary,0.9067000000000001
2022,17228900.0,0.7598999999999999,20346683.0,1,Parliamentary,0.8974
2019,16419543.0,0.8079000000000001,18675465.0,1,Parliamentary,0.9189
2016,15671551.0,0.7896,18063010.0,1,Parliamentary,0.9101
2013,14722754.0,0.7886,17406251.0,1,Parliamentary,0.9323
2010,14086869.0,0.8101999999999999,16208479.0,1,Parliamentary,0.9322
2007,13646539.0,0.8238,15696515.0,1,Parliamentary,0.9476
2004,13098461.0,0.8237000000000001,14999498.0,1,Parliamentary,0.9431999999999999
2001,12708837.0,0.8420000000000001,14316998.0,1,Parliamentary,0.9484999999999999
1998,12154050.0,0.8223999999999999,14039112.0,1,Parliamentary,0.9499
1996,11740568.0,0.8299,13547920.0,1,Parliamentary,0.9577
1993,11384638.0,0.8343,13065440.0,1,Parliamentary,0.9575
1990,10728435.0,0.8209000000000001,12457450.0,1,Parliamentary,0.9531000000000001
1987,10353213.0,0.8414,11546730.0,1,Parliamentary,0.9384
1984,9866266.0,0.8420000000000001,11036240.0,1,Parliamentary,0.9419
1983,9372064.0,0.8123999999999999,10919090.0,1,Parliamentary,0.9464
1980,9023592.0,0.8397,10139550.0,1,Parliamentary,0.9434999999999999
1977,8548779.0,0.8448,9620530.0,1,Parliamentary,0.9508
1975,8262413.0,0.8468000000000001,9308310.0,1,Parliamentary,0.9539
